y	m	d	H	M	S	SampleMethod	SSC
2013	2	7	13	0	0	920	299
2013	2	10	12	0	0	920	281
2013	2	13	10	30	0	920	756
2013	2	16	10	15	0	920	101
2013	2	19	12	0	0	920	85
2013	2	23	13	0	0	920	63
2013	2	27	13	0	0	920	49
2013	3	5	13	0	0	920	59
2013	3	8	16	0	0	920	50
2013	3	10	10	0	0	920	519
2013	3	10	19	0	0	920	1500
2013	3	11	10	30	0	920	1840
2013	3	11	18	0	0	920	1780
2013	3	12	7	30	0	920	842
2013	3	13	13	0	0	920	818
2013	3	14	9	45	0	920	560
2013	3	15	10	0	0	920	482
2013	3	15	19	0	0	920	1480
2013	3	16	10	0	0	920	489
2013	3	18	19	0	0	920	622
2013	3	20	11	0	0	920	223
2013	3	20	14	30	0	920	184
2013	3	23	12	0	0	920	243
2013	3	26	11	30	0	920	114
2013	4	2	13	30	0	920	106
2013	4	6	11	0	0	920	116
2013	4	10	15	20	0	920	328
2013	4	11	9	30	0	920	1210
2013	4	12	10	30	0	920	1360
2013	4	15	11	30	0	920	324
2013	4	17	8	0	0	920	299
2013	4	18	8	0	0	920	2770
2013	4	18	12	0	0	920	2170
2013	4	18	14	53	0	10	1850
2013	4	18	18	0	0	920	1660
2013	4	19	12	0	0	920	1550
2013	4	19	19	0	0	920	1510
2013	4	22	10	15	0	920	2810
2013	4	23	8	15	0	920	317
2013	4	24	9	30	0	920	406
2013	4	25	9	45	0	920	537
2013	4	26	18	25	0	920	408
2013	4	29	12	45	0	920	136
2013	4	30	10	0	0	920	222
2013	5	2	10	0	0	920	197
2013	5	3	18	15	0	920	1720
2013	5	4	8	30	0	920	1390
2013	5	5	12	0	0	920	776
2013	5	8	9	30	0	920	249
2013	5	10	13	0	0	920	208
2013	5	14	19	30	0	920	133
2013	5	17	9	5	0	920	140
2013	5	17	9	13	0	10	938
2013	5	17	9	20	0	920	142
